,Short_Name,Zip,Lat,Long,GeoNetwork,COMMAREA,WARD_15,sch_id,ca_id,fin_id,tot_student,perc_low_income,perc_black_his_stu,pre_cov_att,post_cov_att,att_diff_pp,match_score,teachers,teachers_per_100stu,help_fte_per_100stu,dolla_per_student,salary_per_teacher,pre_att_bucket,post_att_bucket
0,ASPIRA - EARLY COLLEGE HS,60618,41.93729829,-87.72709566,4,AVONDALE,30,400013,22,66254,262,0.8625954198473282,1.0,90.425,85.1125,5.312500000000014,,,,,18543.84351145038,,high,high
1,CHIARTS HS,60622,41.89937657,-87.69494501,5,WEST TOWN,26,400022,25,63051,598,0.520066889632107,0.7290969899665551,96.7,94.6875,2.012500000000003,,,,,12102.051839464883,,high,high
2,CICS - WASHINGTON PARK,60637,41.7841264,-87.62126075,9,WASHINGTON PARK,20,400029,7,66181,504,0.7976190476190477,0.9702380952380952,,,,0.94,29.0,44.61538461538462,1.5384615384615383,13130.625,18372.689655172413,high,high
3,CICS - ELLISON HS,60620,41.74838241,-87.66897964,11,AUBURN GRESHAM,17,400032,70,66072,205,0.8634146341463415,0.9951219512195122,88.5875,80.275,8.3125,0.95,17.0,26.15384615384616,1.5384615384615383,15125.024390243903,46151.05882352941,high,high
4,CICS - LONGWOOD,60643,41.72122143,-87.65576813,11,WASHINGTON HEIGHTS,21,400033,72,66061,1241,0.7832393231265109,0.991941982272361,88.3375,79.4,8.9375,0.94,63.0,96.92307692307692,3.8461538461538463,14972.80741337631,54398.206349206346,high,high
5,CICS - NORTHTOWN HS,60659,41.99024501,-87.72650426,1,NORTH PARK,39,400034,13,66241,891,0.77665544332211,0.6790123456790124,93.975,93.7625,0.2125000000000056,0.93,64.0,98.46153846153848,6.923076923076923,15730.901234567902,36840.25,high,high
6,CHICAGO MATH & SCIENCE HS,60626,42.01303149,-87.67481842,2,ROGERS PARK,49,400035,10,66281,601,0.8252911813643927,0.7986688851913477,95.1875,94.4625,0.7249999999999943,,,,,14658.430948419302,,high,high
7,NOBLE - NOBLE HS,60642,41.90019052,-87.66262778,6,WEST TOWN,2,400051,25,66141,652,0.7868098159509203,0.9539877300613496,94.45,77.1,17.349999999999994,,,,,15826.789877300613,,high,low
8,NOBLE - COMER,60619,41.76525228,-87.60416375,12,GREATER GRAND CROSSING,5,400052,67,66146,1020,0.7549019607843137,0.9823529411764704,92.4125,81.8125,10.599999999999994,,,,,16870.620588235295,,high,high
9,NOBLE - GOLDER HS,60642,41.89528219,-87.664483,6,WEST TOWN,27,400053,25,66145,643,0.7900466562986003,0.9626749611197511,92.3625,72.6375,19.72500000000001,0.9,35.0,53.84615384615385,19.07692307692308,15561.486780715397,50975.57142857143,high,low
10,NOBLE - PRITZKER HS,60639,41.91521411,-87.73012671,4,HERMOSA,35,400054,21,66142,968,0.9008264462809916,0.9803719008264464,94.65,86.7875,7.862500000000011,0.9,50.0,76.92307692307693,20.307692307692307,14885.478305785124,47809.14,high,high
11,NOBLE - RAUNER HS,60642,41.89242501,-87.66085887,6,WEST TOWN,1,400055,25,66143,651,0.7357910906298003,0.9615975422427036,93.0625,80.30000000000001,12.762499999999989,,,,,14672.485407066053,,high,high
12,NOBLE - ROWE CLARK HS,60651,41.89536226,-87.71804677,5,HUMBOLDT PARK,27,400056,24,66144,375,0.88,0.992,89.76249999999999,72.5375,17.224999999999994,,,,,16490.357333333333,,high,low
13,NOBLE - UIC HS,60608,41.86581741,-87.67611093,6,NEAR WEST SIDE,28,400057,29,66147,876,0.8047945205479452,0.9440639269406392,93.0375,83.175,9.862499999999995,,,,,14923.615296803653,,high,high
14,NORTH LAWNDALE - CHRISTIANA HS,60623,41.85856355,-87.70898711,5,NORTH LAWNDALE,24,400058,30,66091,313,0.9041533546325878,0.9968051118210862,94.15,79.0125,15.137500000000005,0.91,25.0,38.46153846153847,5.6923076923076925,15116.444089456869,51731.48,high,high
15,NORTH LAWNDALE - CHRISTIANA HS,60623,41.85856355,-87.70898711,5,NORTH LAWNDALE,24,400058,30,66091,313,0.9041533546325878,0.9968051118210862,94.15,79.0125,15.137500000000005,0.92,25.0,38.46153846153847,5.6923076923076925,15116.444089456869,64914.12,high,high
16,NORTH LAWNDALE - COLLINS HS,60623,41.86414584,-87.7006806,5,NORTH LAWNDALE,24,400059,30,66092,418,0.9473684210526316,0.9880382775119616,94.1875,74.8125,19.375,,,,,14103.916267942584,,high,low
17,PERSPECTIVES - LEADERSHIP HS,60620,41.74596083,-87.65204509,11,AUBURN GRESHAM,21,400061,70,66052,643,0.8740279937791602,0.9922239502332816,91.4875,81.5,9.987499999999995,0.91,49.0,75.38461538461539,3.0,12627.298600311042,23395.0,high,high
18,PERSPECTIVES - TECH HS,60620,41.74594902,-87.65065702,11,AUBURN GRESHAM,21,400062,70,66053,347,0.8501440922190202,0.9913544668587896,91.125,79.5875,11.537499999999994,0.93,33.0,50.76923076923077,1.5384615384615383,15034.403458213257,27567.333333333332,high,high
19,PERSPECTIVES - JOSLIN HS,60616,41.85599911,-87.6285309,6,NEAR SOUTH SIDE,3,400064,34,66051,365,0.8273972602739726,0.9753424657534246,93.2,79.19999999999999,14.000000000000014,,,,,15560.98904109589,,high,high
20,PERSPECTIVES - MATH & SCI HS,60653,41.82778386,-87.62478772,9,DOUGLAS,3,400066,1,66056,407,0.8255528255528255,0.972972972972973,89.55000000000001,73.6,15.950000000000015,,,,,14285.42751842752,,high,low
21,U OF C - WOODLAWN HS,60637,41.7781297,-87.59811392,9,WOODLAWN,20,400077,9,66112,567,0.7601410934744268,0.9982363315696648,92.9625,84.3,8.662500000000009,0.91,44.0,67.6923076923077,8.076923076923077,16972.25925925926,46044.568181818184,high,high
22,ACERO - GARCIA HS,60632,41.80917079,-87.73046685,8,ARCHER HEIGHTS,14,400085,54,66394,638,0.8636363636363636,0.9780564263322884,91.9,81.425,10.475000000000009,,,,,15217.877742946708,,high,high
23,URBAN PREP - ENGLEWOOD HS,60621,41.78149782,-87.63435669,11,ENGLEWOOD,20,400086,66,66441,155,0.8903225806451613,0.9870967741935484,92.025,84.92500000000001,7.099999999999994,,,,,20397.251612903226,,high,high
24,EPIC HS,60617,41.74484911,-87.55022237,12,SOUTH CHICAGO,7,400094,42,63081,325,0.9415384615384615,0.9476923076923076,92.2875,79.9375,12.349999999999994,0.92,36.0,55.38461538461539,3.076923076923077,23042.39076923077,59585.555555555555,high,high
25,NOBLE - BULLS HS,60612,41.87880881,-87.67819526,6,NEAR WEST SIDE,27,400097,29,66572,1157,0.8807260155574762,0.9844425237683664,93.225,80.76249999999999,12.462500000000006,,,,,13773.08988764045,,high,high
26,NOBLE - MUCHIN HS,60602,41.88274026,-87.62633828,6,LOOP,42,400098,38,66573,823,0.8165249088699879,0.9356014580801943,94.8125,80.8125,14.0,,,,,17097.823815309843,,high,high
27,INSTITUTO - HEALTH,60608,41.84596659,-87.68724016,7,LOWER WEST SIDE,25,400104,33,63131,622,0.842443729903537,0.9871382636655948,87.5625,88.4,-0.8375000000000057,,,,,15378.918006430868,,high,high
